New,Score,Title,Company,Location,Contract,Source,Date,Link
,17,Workplace Operations Program Manager,Airbnb,"San Francisco, United States",Full-time,Greenhouse,2026-07-22,https://careers.airbnb.com/positions/8079378?gh_jid=8079378
,17,"Associate Product Manager, New Grad (2027 Start)",Databricks,"Bellevue, Washington; Mountain View, California; San Francisco, California",Full-time,Greenhouse,2026-07-17,https://databricks.com/company/careers/open-positions/job?gh_jid=7586263002
,17,Strategy & Execution Manager,Databricks,"Mountain View, California; San Francisco, California",Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8605979002
,17,"Product Manager, AI Growth",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/5989185004?gh_jid=5989185004
,17,"Researcher, Core Product Strategy",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/5651744004?gh_jid=5651744004
,17,Praktikum Go-to-Market Strategy - Hospitals (x/f/m),Doctolib,"Berlin, Berlin, Germany",Full-time,Greenhouse,2026-05-21,https://job-boards.greenhouse.io/doctolib/jobs/7730040003
,17,Sales Strategy Intern - Milan (x/f/m),Doctolib,"Milano, Milan, Italy",Internship,Greenhouse,2026-06-12,https://job-boards.greenhouse.io/doctolib/jobs/7768141003
,17,Sales Strategy Lead - Milan (x/f/m),Doctolib,"Milano, Milan, Italy",Full-time,Greenhouse,2026-06-15,https://job-boards.greenhouse.io/doctolib/jobs/7773268003
,17,Business Development Representative DACH,Dataiku,"United Kingdom, London",Full-time,Greenhouse,2026-07-07,https://job-boards.greenhouse.io/dataiku/jobs/6099411004
,17,Business Development Representative,Gitlab,"Remote, EMEA; Remote, Germany; Remote, Ireland; Remote, Netherlands; Remote, United Kingdom",Full-time,Greenhouse,2026-06-05,https://job-boards.greenhouse.io/gitlab/jobs/8532274002
,17,Business Development Representative,Gitlab,"Remote, North America",Full-time,Greenhouse,2026-06-05,https://job-boards.greenhouse.io/gitlab/jobs/8532272002
,17,Business Development Representative - MENA,Gitlab,"Remote, UAE",Full-time,Greenhouse,2026-07-21,https://job-boards.greenhouse.io/gitlab/jobs/8608546002
,17,"Manager, Business Development",Gitlab,"Remote, North America",Full-time,Greenhouse,2026-07-01,https://job-boards.greenhouse.io/gitlab/jobs/8614683002
,17,Business Development Representative,Intercom,"San Francisco, California",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/8038696
,17,Business Development Representative,Intercom,"Dublin, Ireland",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/7765514
,17,Enterprise Business Development Representative,Intercom,"Dublin, Ireland",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/8055026
,17,"Manager, Business Development",Intercom,"Dublin, Ireland",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/8068149
,17,Financial Health Strategy Manager,Monzo,"Cardiff, London or Remote (UK)",Full-time,Greenhouse,2026-07-02,https://job-boards.greenhouse.io/monzo/jobs/8043038
,17,Product Operations Lead - Monzo Mobile,Monzo,"Cardiff, London or Remote (UK)",Full-time,Greenhouse,2026-07-22,https://job-boards.greenhouse.io/monzo/jobs/8059557
,17,Legal Counsel - Licensing & Business Development,Spotify,London,Permanent,Lever,,https://jobs.lever.co/spotify/f328ec07-194a-442d-af32-da40cbfd4f22
,17,"Manager, Consumer Business Development -  Audiobooks and Media Partners",Spotify,"New York, NY",Permanent,Lever,,https://jobs.lever.co/spotify/b66e964c-fbb5-4845-b250-1412b00f0b81
,17,"Manager, Consumer Business Development - Speaker and Audio Partners",Spotify,"New York, NY",Permanent,Lever,,https://jobs.lever.co/spotify/c57d5fa0-2f0e-45f4-abdd-e3ee5fdb85c4
,17,Product Manager - Data Platform,Spotify,Toronto,Full-time,Lever,,https://jobs.lever.co/spotify/03437e2a-2d5e-4593-9e97-11271014932e
,17,Growth Project Manager,Qonto,Paris,Full-time,Lever,,https://jobs.lever.co/qonto/c087ac46-54ac-4227-b9ef-5a377c35b9ab
,17,Partnerships Growth Ops Project Manager,Qonto,Paris,Full-time,Lever,,https://jobs.lever.co/qonto/73b520ea-cca1-4b29-a9af-ddce38780c90
,17,Strategic Operations Project Manager & Analyst 🇫🇷,Qonto,Paris,Full-time,Lever,,https://jobs.lever.co/qonto/c73e81ef-aeb0-4785-b0da-f0902f91272e
,17,Business Development Intern,Voodoo,Paris,Internship,Lever,,https://jobs.lever.co/voodoo/4000a0d4-a144-4c3f-b3ee-2a6a1cdb93a2
,15,Business Analyst (H/F) – Belgique,TOTALENERGIES SE,"Liege, Belgique",VIE (12 months),VIE,2026-07-03,https://mon-vie-via.businessfrance.fr/offres/244325
,15,Chef de projet site (H/F),EIFFAGE ENERGIE SYSTEMES - TRANSPORT & DISTRIBUTION,"Conakry, Guinee",VIE (24 months),VIE,2026-07-21,https://mon-vie-via.businessfrance.fr/offres/244764
,15,PROJECT MANAGER (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,"Bruxelles, Belgique",VIE (24 months),VIE,2026-07-20,https://mon-vie-via.businessfrance.fr/offres/244699
,15,CHEF DE PROJET INDUSTRIEL ADJOINT (H/F),DE DIETRICH FRANCE SEMUR,"Usti Nad Labem, Tchequie / Republique Tcheque",VIE (12 months),VIE,2026-07-17,https://mon-vie-via.businessfrance.fr/offres/244654
